Product,Min_optimal_temp,Max_optimal_temp,Freezing Point,Min_optimal_humidity,Max_optimal_humidity,Appoximate storage life,Oxygen_Conc%,CO2_Conc%,Price per lb,Quantity in lb/oz
Apples,30,40,29.3,90,95,12 months,0.5,6,2.24,10
Apricots,31,32,30.1,90,95,3 weeks,4,0.5,4.48,4
Artichokes,32,35,28,90,95,1 week,3,0.25,2.48,5
Artichokes_Jerusalem,31,32,28,90,95,5 months,1,5,4.21,5
Asparagus,32,35,30.9,95,100,3 weeks,2.5,0.1,3.49,3
Avocados_ripe,38,45,29.5,85,95,4 days,1,6,3,15
Avocados_unripe,45,50,29.5,85,95,3-7 days,4,0.5,2.49,14
Bananas_green,62,70,30.6,85,95,1-2 weeks,1,5,0.25,20
Bananas_ripe,56,60,31.1,85,95,3-5 days,2.5,1,1,20
Basil,52,59,30.3,90,95,1-2 weeks,2.5,0.5,6.9,5
Beans_ dry,40,50,NA,40,50,10 months,2.5,0.5,2.99,10
Beans_ green or snap,40,45,30.7,95,95,10 days,3,1,3,20
Beans_ sprouts,32,32,29.5,95,100,9 days,2.5,0.5,5.99,20
Beans_Lima,37,41,31,95,95,7 days,2.5,0.5,1.31,20
Beets,32,35,28,90,95,10 days,2,0.5,2.49,10
Beets_ bunched,32,32,31.3,98,100,14 days,2.5,0.5,1,10
Beets_ topped,32,32,30.3,98,100,6 months,2.5,0.5,2,10
Blackberries,32,33,30.5,90,95,3 days,2.5,1,2.99,12
Blueberries,32,35,29,90,95,1-2 weeks,2.5,2,4,12
Bok Choy,32,35,30,90,95,3-4 days,2.5,0.5,1.99,14
Broccoli,32,32,30.9,95,100,14 days,3.5,0.5,2.49,5
Brussels Sprouts,32,32,30.5,90,95,5 weeks,2.5,0.5,3.99,4
Bunched Greens,32,32,28,90,95,1 week,2.5,0.5,2,4
Cabbage_ Chinese,32,32,28,95,100,3 months,1,2,4,15
Cabbage_ early,32,32,30.4,98,100,6 weeks,2.5,0.5,3.49,15
Cabbage_ late,32,32,30.4,98,100,6 months,2.5,3,2,15
Cantaloupe,36,38,30.1,90,95,7-10 days,3,0.5,2.99,20
Carrots_ bunched,32,32,28.2,95,100,2 weeks,2.5,0.5,4.99,10
Carrots_ immature,32,32,29.5,98,100,6 weeks,3,0.5,3.99,10
Carrots_ mature,32,32,29.5,98,100,9 months,2.5,3,2.49,10
Cauliflower,32,32,30.6,95,98,4 weeks,2.5,0.5,2.99,15
